"user_id","join_date"
"1026881","2023-01-29"
"1001778","2023-02-06"
"1024593","2023-02-01"
"1033220","2023-01-25"
"1014942","2023-02-03"
"1012096","2023-02-01"
"1012691","2023-01-25"
"1037143","2023-01-29"
"1026710","2023-01-30"
"1004064","2023-01-29"
"1037527","2023-01-30"
"1034612","2023-01-28"
"1026763","2023-01-28"
"1000459","2023-01-26"
"1000277","2023-02-03"
"1030338","2023-01-26"
"1020734","2023-01-31"
"1030169","2023-01-25"
"1028415","2023-01-27"
"1017814","2023-01-26"
"1043749","2023-01-29"
"1001859","2023-02-01"
"1017018","2023-02-02"
"1022321","2023-01-26"
"1046435","2023-02-04"
"1043153","2023-01-26"
"1046638","2023-02-03"
"1014602","2023-01-26"
"1028790","2023-01-26"
"1008209","2023-01-25"
"1041064","2023-02-02"
"1036716","2023-02-03"
"1000909","2023-01-31"
"1015071","2023-01-25"
"1024411","2023-01-25"
"1027217","2023-01-30"
"1028455","2023-01-30"
"1013533","2023-02-06"
"1038533","2023-01-25"
"1030204","2023-01-25"
"1020031","2023-01-29"
"1000635","2023-01-25"
"1035801","2023-01-31"
"1019831","2023-01-27"
"1005527","2023-01-25"
"1035820","2023-01-30"
"1024017","2023-01-26"
"1017124","2023-02-02"
"1011268","2023-01-29"
"1019954","2023-01-30"
"1007724","2023-02-01"
"1020203","2023-02-03"
"1039929","2023-01-29"
"1037124","2023-01-26"
"1035890","2023-01-26"
"1013642","2023-01-30"
"1011913","2023-01-27"
"1007108","2023-01-26"
"1019826","2023-01-27"
"1031823","2023-01-28"
"1021142","2023-02-01"
"1002968","2023-01-26"
"1000606","2023-01-26"
"1015319","2023-01-30"
"1012183","2023-02-04"
"1000555","2023-01-27"
"1041037","2023-01-26"
"1019827","2023-01-28"
"1011951","2023-01-25"
"1042740","2023-01-25"
"1045775","2023-01-27"
"1032290","2023-01-29"
"1045040","2023-01-25"
"1030147","2023-01-29"
"1017131","2023-01-27"
"1007034","2023-02-01"
"1002019","2023-01-25"
"1013928","2023-01-27"
"1001458","2023-01-31"
"1029005","2023-01-25"
"1011445","2023-01-25"
"1002536","2023-01-31"
"1001983","2023-01-25"
"1033412","2023-01-31"
"1025975","2023-01-26"
"1027647","2023-01-25"
"1012036","2023-01-25"
"1033190","2023-01-29"
"1040694","2023-01-26"
"1037706","2023-01-25"
"1005793","2023-02-05"
"1035767","2023-01-28"
"1024747","2023-01-28"
"1014393","2023-01-29"
"1001311","2023-01-26"
"1007185","2023-01-27"
"1047299","2023-01-26"
"1040481","2023-01-25"
"1034480","2023-01-29"
"1020816","2023-01-29"
"1012618","2023-01-29"
"1043453","2023-02-06"
"1007818","2023-02-01"
"1029461","2023-01-25"
"1017283","2023-01-26"
"1026865","2023-01-27"
"1023391","2023-01-25"
"1014679","2023-01-25"
"1028265","2023-01-28"
"1034148","2023-01-27"
"1023310","2023-01-27"
"1041783","2023-01-27"
"1034955","2023-01-28"
"1008983","2023-01-31"
"1040222","2023-01-26"
"1045357","2023-01-26"
"1047939","2023-01-31"
"1026890","2023-01-25"
"1044227","2023-01-26"
"1034695","2023-01-28"
"1026355","2023-01-31"
"1049978","2023-01-27"
"1046523","2023-01-30"
"1020851","2023-01-25"
"1011752","2023-01-27"
"1009146","2023-01-31"
"1042579","2023-01-28"
"1024837","2023-01-26"
"1014444","2023-02-06"
"1028372","2023-02-02"
"1028107","2023-02-05"
"1025747","2023-01-26"
"1006968","2023-01-28"
"1027687","2023-01-28"
"1037838","2023-01-25"
"1035905","2023-01-26"
"1002241","2023-01-25"
"1011640","2023-01-26"
"1020860","2023-01-28"
"1004808","2023-02-06"
"1034240","2023-02-05"
"1009911","2023-01-27"
"1013439","2023-01-26"
"1026686","2023-02-03"
"1019105","2023-01-25"
"1044555","2023-01-28"
"1010690","2023-01-27"
"1045019","2023-01-30"
"1044955","2023-01-31"
"1009485","2023-01-29"
"1008794","2023-01-25"
"1049681","2023-01-28"
"1031956","2023-01-25"
"1038926","2023-01-25"
"1000215","2023-02-02"
"1026218","2023-02-01"
"1011580","2023-02-05"
"1037686","2023-01-26"
"1033917","2023-02-04"
"1036377","2023-01-29"
"1036036","2023-01-25"
"1032396","2023-01-27"
"1027211","2023-02-02"
"1023670","2023-01-25"
"1019097","2023-01-25"
"1047998","2023-01-29"
"1021269","2023-01-27"
"1034076","2023-01-26"
"1011690","2023-02-05"
"1049192","2023-01-27"
"1008427","2023-01-25"
"1039490","2023-01-31"
"1027086","2023-01-25"
"1020176","2023-01-31"
"1010968","2023-01-26"
"1041638","2023-02-05"
"1025224","2023-01-30"
"1037326","2023-02-06"
"1003036","2023-01-26"
"1043246","2023-01-26"
"1039332","2023-01-26"
"1021718","2023-02-05"
"1002251","2023-01-29"
"1023153","2023-01-27"
"1044828","2023-01-25"
"1035122","2023-01-28"
"1027970","2023-02-03"
"1011896","2023-02-03"
"1006560","2023-01-29"
"1020965","2023-01-27"
"1017817","2023-01-29"
"1022042","2023-01-27"
"1000527","2023-01-31"
"1011931","2023-01-25"
"1009900","2023-01-28"
"1039020","2023-02-06"
"1012065","2023-01-25"
"1046690","2023-01-29"
"1032368","2023-02-01"
"1038364","2023-02-01"
"1034459","2023-01-28"
"1045091","2023-01-26"
"1048890","2023-01-28"
"1005360","2023-01-25"
"1026952","2023-02-01"
"1032442","2023-02-06"
"1024140","2023-01-27"
"1016475","2023-01-25"
"1001192","2023-01-25"
"1013247","2023-01-29"
"1040721","2023-01-26"
"1023151","2023-01-29"
"1003265","2023-02-04"
"1031489","2023-02-05"
"1001201","2023-01-26"
"1005591","2023-01-30"
"1025486","2023-01-25"
"1011705","2023-02-01"
"1043089","2023-01-29"
"1041942","2023-01-25"
"1026984","2023-01-25"
"1022658","2023-02-02"
"1004320","2023-01-30"
"1044298","2023-01-26"
"1047507","2023-01-25"
"1027918","2023-01-31"
"1010962","2023-01-28"
"1049433","2023-01-29"
"1020898","2023-01-28"
"1034556","2023-01-29"
"1005469","2023-01-28"
"1004138","2023-01-28"
"1011972","2023-01-27"
"1044085","2023-01-25"
"1027120","2023-02-01"
"1022641","2023-01-31"
"1003608","2023-02-01"
"1003180","2023-01-27"
